Movie_name,Release_Date,tconst,nconst,Director_name,capped_profit,Successful,num_movies,Director_age
Signs of Life,1968,tt0063218,nm0001348,Werner Herzog,0.0,4.7,86,26
The Wind Journeys,2009,tt1426374,nm1458734,Ciro Guerra,0.0,4.7,5,28
Aniyathi Pravu,1997,tt0281594,nm0269778,Fazil,0.0,4.7,31,44
The Rebel Set,1959,tt0053213,nm0288635,Gene Fowler Jr.,0.0,3.8,44,42
Jawani Diwani,1972,tt0155775,nm0066066,Narendra Bedi,0.0,4.6,14,35
Breaking and Entering,2006,tt0443456,nm0005237,Anthony Minghella,10539456.561277334,4.7,10,52
Mortal Thoughts,1991,tt0102469,nm0748928,Alan Rudolph,11609286.614221303,4.6,22,48
Heart Beat,1980,tt0080854,nm0126440,John Byrum,2740708.1751076956,4.4,7,33
Revenge of the Ninja,1983,tt0086192,nm0278735,Sam Firstenberg,11609286.614221303,4.6,28,33
Into the Night,1985,tt0088696,nm0337820,Eitan Green,0.0,4.4,9,34
Kansas,1988,tt0095428,nm0828350,David Stevens,0.0,4.3,60,48
The Good Night,2007,tt0484111,nm0658823,Jake Paltrow,-17126464.314867236,4.1,20,32
Out of Control,2003,tt0388315,nm0039724,Apurva Asrani,0.0,3.9,2,25
Winged Victory,1944,tt0037467,nm0002030,George Cukor,0.0,4.5,53,45
Invictus,2009,tt1057500,nm0000142,Clint Eastwood,11609286.614221303,4.9,43,79
The Milagro Beanfield War,1988,tt0095638,nm0000602,Robert Redford,11609286.614221303,5.2,9,52
Hitler: The Last Ten Days,1973,tt0070184,nm0208086,Ennio De Concini,0.0,4.6,3,50
The Healer,1935,tt0026637,nm0054977,Reginald Barker,0.0,4.4,95,49
Roger Dodger,2002,tt0299117,nm1071898,Dylan Kidd,2546020.315264304,4.7,7,33
Scandal,1950,tt0042958,nm0000041,Akira Kurosawa,0.0,4.7,32,40
The Boys,1962,tt0054697,nm0002089,Sidney J. Furie,0.0,4.7,88,29
Rowing with the Wind,1988,tt0093840,nm0840779,Gonzalo Suárez,0.0,4.4,32,54
Adam Resurrected,2008,tt0479341,nm0001707,Paul Schrader,-10995514.06354625,4.3,25,62
Steve + Sky,2004,tt0399692,nm0886976,Felix van Groeningen,0.0,4.5,8,27
Shame,1968,tt0063611,nm0000005,Ingmar Bergman,0.0,4.9,85,50
LaFayette Escadrille,1958,tt0051840,nm0920074,William A. Wellman,0.0,4.3,74,62
Water Drops on Burning Rocks,2000,tt0211387,nm0654830,François Ozon,0.0,4.6,46,33
A Summer's Tale,1996,tt0115940,nm0006445,Éric Rohmer,0.0,4.8,53,76
Johny Mera Naam,1970,tt0154685,nm0025629,Vijay Anand,0.0,4.7,17,36
Kush,2007,tt0477138,nm0787135,York Alec Shackleton,0.0,3.9,11,33
Hit List,1989,tt0095311,nm0527350,William Lustig,0.0,4.4,10,34
Coming Out,1989,tt0097095,nm0139239,Heiner Carow,0.0,4.7,47,60
Storm Center,1956,tt0049800,nm0850168,Daniel Taradash,0.0,4.6,1,43
The Romantics,2010,tt1403988,nm0630633,Galt Niederhoffer,-4769862.106582956,4.1,4,35
Judgment at Nuremberg,1961,tt0055031,nm0006452,Stanley Kramer,11609286.614221303,7.1,18,48
No Regrets for Our Youth,1946,tt0039090,nm0000041,Akira Kurosawa,0.0,4.7,32,36
Torque,2004,tt0329691,nm0994538,Joseph Kahn,-50133839.2305656,3.2,14,32
L'Inhumaine,1924,tt0015014,nm0478303,Marcel L'Herbier,0.0,4.7,56,36
22 Bullets,2010,tt1167638,nm0006939,Richard Berry,-26056063.708551258,4.1,8,60
Modigliani,2004,tt0367188,nm0205169,Mick Davis,-14795275.538139945,4.4,13,43
The Barber of Siberia,1998,tt0120125,nm0586482,Nikita Mikhalkov,-50830320.53575993,3.9,30,53
The Clock,1945,tt0037604,nm0003593,Fred Zinnemann,0.0,4.7,44,38
Closer,2004,tt0376541,nm0001566,Mike Nichols,11609286.614221303,4.9,27,73
The Last Supper,1994,tt0110310,nm0730966,Cynthia Roberts,0.0,4.7,6,29
Chop Shop,2007,tt0990404,nm1023919,Ramin Bahrani,252589.0880656756,4.7,22,32
Bon Voyage,2003,tt0310778,nm0710919,Jean-Paul Rappeneau,11609286.614221303,4.8,9,71
A Lonely Place to Die,2011,tt1422136,nm1402202,Julian Gilbey,11609286.614221303,4.7,8,36
Landfall,1949,tt0041576,nm0002175,Ken Annakin,0.0,4.6,57,35
Happiness,1998,tt0147612,nm0001754,Todd Solondz,-279726.51538264914,4.8,12,39
Get Carter,1971,tt0067128,nm0388198,Mike Hodges,-10608325.460605064,4.5,35,39
The Other,1972,tt0069050,nm0612322,Robert Mulligan,0.0,4.6,90,47
The Matrix Revolutions,2003,tt0242653,nm0905154,Lana Wachowski,11609286.614221303,4.8,21,38
Elena,2011,tt1925421,nm1168657,Andrey Zvyagintsev,0.0,4.7,11,47
Deadly Target,1994,tt0109573,nm0238110,Charla Driver,0.0,4.2,1,34
End of Days,1999,tt0146675,nm0001382,Peter Hyams,11609286.614221303,4.6,24,56
Gone with the Wind,1939,tt0031381,nm0281808,Victor Fleming,11609286.614221303,9.1,46,50
Spetters,1980,tt0081547,nm0000682,Paul Verhoeven,0.0,4.6,51,42
The House with Laughing Windows,1976,tt0074287,nm0002194,Pupi Avati,0.0,4.7,73,38
Tucker: The Man and His Dream,1988,tt0096316,nm0000338,Francis Ford Coppola,-6706217.955041929,4.5,36,49
The Green Elephant,1999,tt1003080,nm2618142,Svetlana Baskova,0.0,4.3,7,34
Our very own,2005,tt0407095,nm0914534,Cameron Watson,-2909324.3439300195,4.4,20,44
The Scarlet Letter,1995,tt0114345,nm0423646,Roland Joffé,-61548181.77434212,3.2,79,50
Night and Fog in Japan,1960,tt0054122,nm0651915,Nagisa Ôshima,0.0,4.6,70,28
Boy on a Dolphin,1957,tt0050208,nm0624535,Jean Negulesco,11609286.614221303,4.7,81,57
Classmates,2006,tt0867145,nm0430485,Lal Jose,0.0,4.9,27,40
The Naked City,1948,tt0040636,nm0202088,Jules Dassin,0.0,5.7,25,37
Gallipoli,1981,tt0082432,nm0001837,Peter Weir,-7810926.587847128,4.6,31,37
Backstreet Dreams,1990,tt0099090,nm0386991,Rupert Hitzig,0.0,4.2,9,52
The Holy Girl,2004,tt0300270,nm0551506,Lucrecia Martel,-1754684.373069796,4.6,23,38
The Big Bluff,1955,tt0047877,nm0928644,W. Lee Wilder,0.0,4.4,36,51
Afonya,1975,tt0072613,nm0199381,Georgiy Daneliya,0.0,4.8,17,45
Sixty Six,2006,tt0493450,nm0917992,Paul Weiland,2199698.7152643544,4.6,19,53
Siddhartha,1972,tt0070689,nm0740270,Conrad Rooks,0.0,4.6,2,38
High Road to China,1983,tt0085678,nm0404606,Brian G. Hutton,11609286.614221303,4.6,9,54
Strapless,1989,tt0098394,nm0002376,David Hare,0.0,4.4,13,42
Irresistible,2006,tt0448564,nm0877382,Ann Turner,0.0,4.4,6,46
Curtains,1983,tt0085385,nm0162992,Richard Ciupka,0.0,4.4,26,33
NANA 2,2006,tt0882791,nm0960025,Kentarô Ohtani,0.0,4.4,40,41
The Darjeeling Limited,2007,tt0838221,nm0027572,Wes Anderson,11609286.614221303,4.9,24,38
Breezy,1973,tt0069822,nm0000142,Clint Eastwood,0.0,4.7,43,43
Gundamma Katha,1962,tt0262455,nm0710563,Kamalakara Kameshwara Rao,0.0,5.0,46,51
Jail,2009,tt1245774,nm1055105,Madhur Bhandarkar,0.0,4.5,16,43
Two for the Seesaw,1962,tt0056626,nm0936404,Robert Wise,0.0,4.6,39,48
Crack in the Mirror,1960,tt0053735,nm0281507,Richard Fleischer,8004604.113834883,4.7,61,44
The Dark Knight,2008,tt0468569,nm0634240,Christopher Nolan,11609286.614221303,6.9,16,38
Odd Obsession,1959,tt0052957,nm0406728,Kon Ichikawa,0.0,4.6,98,44
The Devil's Rock,2011,tt1712578,nm0133067,Paul Campion,0.0,4.4,5,44
Layer Cake,2004,tt0375912,nm0891216,Matthew Vaughn,6705669.213128033,4.8,13,33
Next of Kin,1989,tt0097967,nm0410139,John Irvin,7529142.021882227,4.5,65,49
Creation,2009,tt0974014,nm0000750,Jon Amiel,989042.2291306392,4.6,83,61
Don't Come Knocking,2005,tt0377800,nm0000694,Wim Wenders,-13334403.24301259,4.3,65,60
Look Back in Anger,1959,tt0051879,nm0724798,Tony Richardson,0.0,4.7,53,31
Election 2,2006,tt0491244,nm0864775,Johnnie To,2153557.9155065934,4.8,88,51
Mostly Martha,2001,tt0246772,nm0626686,Sandra Nettelbeck,0.0,4.7,8,35
Penny Serenade,1941,tt0034012,nm0828419,George Stevens,0.0,4.7,57,37
Lisa,1990,tt0100031,nm0792446,Gary Sherman,0.0,4.4,27,45
Noy,2010,tt1659291,nm2029519,Coco Martin,0.0,4.5,14,29
The Official Story,1985,tt0089276,nm0699933,Luis Puenzo,0.0,5.4,6,39
The Puppetmaster,1993,tt0107157,nm0396284,Hsiao-Hsien Hou,0.0,4.7,20,46
Futureworld,1976,tt0074559,nm0373612,Richard T. Heffron,0.0,4.4,58,46
A Successful Calamity,1932,tt0023537,nm0012317,John G. Adolfi,0.0,4.6,85,51
Bound by Honor,1993,tt0106469,nm0000431,Taylor Hackford,-57300121.60946062,3.8,22,49
The Recruit,2003,tt0292506,nm0002044,Roger Donaldson,11609286.614221303,4.8,35,58
Rollover,1981,tt0083006,nm0001587,Alan J. Pakula,11609286.614221303,4.5,16,53
Musafir,2004,tt0430381,nm0348495,Sanjay Gupta,0.0,4.4,15,35
Passion Fish,1992,tt0105107,nm0000626,John Sayles,8123015.412902959,4.9,19,42
The Client,1994,tt0109446,nm0001708,Joel Schumacher,11609286.614221303,4.8,37,55
Andaz apna apna,1994,tt0109117,nm0764316,Rajkumar Santoshi,0.0,4.9,20,38
The Reflecting Skin,1990,tt0100469,nm0726000,Philip Ridley,0.0,4.6,5,26
Super 8,2011,tt1650062,nm0009190,J.J. Abrams,11609286.614221303,4.9,27,45
Johnny English Reborn,2011,tt1634122,nm0662529,Oliver Parker,11609286.614221303,4.7,20,51
Two Evil Eyes,1990,tt0100827,nm0000783,Dario Argento,-15673384.334835129,4.2,37,50
Ali Zaoua: Prince of the Streets,2000,tt0260688,nm0043953,Nabil Ayouch,0.0,4.7,15,31
The Burning Plain,2008,tt1068641,nm0037247,Guillermo Arriaga,-17091046.615589693,4.3,9,50
28 Days Later,2002,tt0289043,nm0000965,Danny Boyle,11609286.614221303,5.0,51,46
The Piano,1993,tt0107822,nm0001005,Jane Campion,11609286.614221303,6.9,27,39
Carnival Story,1954,tt0046829,nm0627087,Kurt Neumann,11609286.614221303,4.6,68,46
"Wait Until Spring, Bandini",1989,tt0098615,nm0220652,Dominique Deruddere,0.0,4.5,18,32
Burial Ground: The Nights of Terror,1981,tt0081248,nm0080580,Andrea Bianchi,0.0,4.4,23,56
Shadow of a Doubt,1943,tt0036342,nm0000033,Alfred Hitchcock,0.0,4.8,81,44
Maanasa Sarovara,1982,tt0232017,nm0437031,S.R. Puttana Kanagal,0.0,5.0,39,49
Welcome to L.A.,1976,tt0076910,nm0748928,Alan Rudolph,0.0,4.4,22,33
My Pal Gus,1952,tt0044939,nm0663577,Robert Parrish,8916616.44695543,4.8,20,36
The Spitfire Grill,1996,tt0117718,nm0957453,Lee David Zlotoff,10027555.386879183,4.8,7,42
Douchebag,2010,tt1535568,nm2035886,Drake Doremus,0.0,4.5,20,27
The Yacoubian Building,2006,tt0425321,nm1441566,Marwan Hamed,-3.523005249886322,4.8,9,29
City for Conquest,1940,tt0032342,nm0514822,Anatole Litvak,0.0,4.7,35,38
The Flesh and Blood Show,1972,tt0068596,nm0908103,Pete Walker,0.0,4.3,35,33
The Last Boy Scout,1991,tt0102266,nm0001716,Tony Scott,11609286.614221303,4.9,27,47
Fear and Loathing in Las Vegas,1998,tt0120669,nm0000416,Terry Gilliam,-11356546.521471296,4.6,19,58
Cypher,2002,tt0284978,nm0622112,Vincenzo Natali,-9870861.7095205,4.4,44,33
Everybody's woman,1934,tt0025791,nm0649097,Max Ophüls,0.0,4.7,26,32
Crazy Heart,2009,tt1263670,nm0178376,Scott Cooper,11609286.614221303,5.9,12,39
Masters of the Universe,1987,tt0093507,nm0323787,Gary Goddard,-9716610.683843052,4.1,5,33
A Show of Force,1990,tt0100606,nm0000853,Bruno Barreto,0.0,4.3,43,35
Lamerica,1994,tt0110299,nm0002167,Gianni Amelio,0.0,4.7,40,49
The Piano in a Factory,2010,tt1723118,nm4071637,Bo Gao,0.0,4.7,4,23
The Dark Tower,1943,tt0034636,nm0363356,John Harlow,0.0,4.4,38,47
Mr. Brooks,2007,tt0780571,nm0262595,Bruce A. Evans,-22835285.753156316,4.3,2,61
Saw II,2005,tt0432348,nm1135423,Darren Lynn Bousman,11609286.614221303,4.8,24,26
Page 3,2005,tt0443708,nm1055105,Madhur Bhandarkar,0.0,4.7,16,39
Moonrise Kingdom,2012,tt1748122,nm0027572,Wes Anderson,11609286.614221303,5.0,24,43
Taxi,1996,tt0117866,nm0767022,Carlos Saura,0.0,4.6,51,64
Joy Division,2006,tt0462373,nm1857340,Reg Traviss,0.0,4.4,7,29
Take Care of My Cat,2001,tt0296658,nm1062423,Jae-eun Jeong,0.0,4.7,8,32
Come Undone,2000,tt0242795,nm0509852,Sébastien Lifshitz,448841.87362369336,4.6,13,32
Hwang Jin Yi,2007,tt1059200,nm0151871,Yun-hyeon Jang,9717723.691605955,4.7,6,40
Keli,1991,tt0353619,nm0080245,Bharathan,0.0,4.6,43,44
The Defector,1966,tt0060295,nm0529733,Raoul Lévy,0.0,4.4,2,44
The Gospel According to St. Matthew,1964,tt0058715,nm0001596,Pier Paolo Pasolini,0.0,4.8,22,42
The Legend of Suriyothai,2001,tt0290879,nm0950841,Chatrichalerm Yukol,0.0,4.5,33,59
Life Show,2002,tt0342697,nm0403225,Jianqi Huo,0.0,4.7,13,44
Lords of Dogtown,2005,tt0355702,nm0362566,Catherine Hardwicke,-14047239.83266994,4.4,39,50
A Cry in the Dark,1988,tt0094924,nm0770961,Fred Schepisi,-16197424.13029526,4.4,24,49
Turtles Can Fly,2004,tt0424227,nm0315842,Bahman Ghobadi,0.0,4.9,12,35
I Love You Again,1940,tt0032617,nm0886754,W.S. Van Dyke,0.0,4.7,80,51
The Cave of the Yellow Dog,2005,tt0432325,nm1389025,Byambasuren Davaa,0.0,4.8,7,34
Thoovanathumbikal,1987,tt0249188,nm0655802,P. Padmarajan,0.0,5.0,18,42
Water,1985,tt0090297,nm0166074,Dick Clement,0.0,4.4,42,48
The Substitute,1996,tt0117774,nm0541677,Robert Mandel,11609286.614221303,4.6,39,51
The Adventures of Algy,1925,tt0343349,nm0807416,Beaumont Smith,0.0,4.3,19,40
The Virgin Queen,1955,tt0048791,nm0467396,Henry Koster,0.0,4.6,49,50
Wendy and Lucy,2008,tt1152850,nm0716980,Kelly Reichardt,722341.4999934201,4.7,12,44
The Night of the Generals,1967,tt0062038,nm0514822,Anatole Litvak,0.0,4.7,35,65
Flame & Citron,2008,tt0920458,nm0535234,Ole Christian Madsen,-7147084.141305063,4.6,50,42
Legal Eagles,1986,tt0091396,nm0718645,Ivan Reitman,11609286.614221303,4.6,22,40
The Mighty Quinn,1989,tt0097880,nm0770918,Carl Schenkel,8702802.148746975,4.6,23,41
House of Games,1987,tt0093223,nm0000519,David Mamet,5387144.248570591,4.8,25,40
The Life Aquatic with Steve Zissou,2004,tt0362270,nm0027572,Wes Anderson,-19040327.041338567,4.4,24,35
Golmaal 3,2010,tt1562859,nm1460159,Rohit Shetty,-10856693.211896358,4.2,20,36
Prem Pratigyaa,1989,tt0102705,nm0052677,Bapu,0.0,4.5,56,56
The Wild Dogs,2002,tt0290930,nm0280396,Thom Fitzgerald,0.0,4.6,92,34
Dushmun,1971,tt0138411,nm0346618,Dulal Guha,0.0,4.7,16,43
Max Payne,2008,tt0467197,nm0601382,John Moore,11609286.614221303,4.5,13,38
Money Train,1995,tt0113845,nm0747849,Joseph Ruben,11609286.614221303,4.6,18,45
"Faraway, So Close!",1993,tt0107209,nm0000694,Wim Wenders,0.0,4.7,65,48
Still Life,2006,tt0859765,nm0422605,Zhangke Jia,0.0,4.7,26,36
Unfolding Florence: The Many Lives of Florence Broadhurst,2006,tt0460427,nm0000788,Gillian Armstrong,0.0,4.6,27,56
Trapped,1949,tt0041983,nm0281507,Richard Fleischer,0.0,4.5,61,33
A Modern Hero,1934,tt0025510,nm0655065,Georg Wilhelm Pabst,0.0,4.5,38,49
Beverly of Graustark,1926,tt0016646,nm0291548,Sidney Franklin,0.0,4.6,44,33
"I'm a Cyborg, But That's OK",2006,tt0497137,nm0661791,Park Chan-wook,5451734.365025836,4.8,32,43
The Return of Martin Guerre,1982,tt0084589,nm0897045,Daniel Vigne,-9087805.886979274,4.6,31,40
When Harry Met Sally...,1989,tt0098635,nm0001661,Rob Reiner,11609286.614221303,5.0,29,42
A Thousand Acres,1997,tt0120323,nm0602104,Jocelyn Moorhouse,11609286.614221303,4.7,31,37
Frankenstein Unbound,1990,tt0099612,nm0000339,Roger Corman,-20230006.696962815,4.0,50,64
Waitress,2007,tt0473308,nm0791248,Adrienne Shelly,11609286.614221303,4.9,6,41
Margaret's Museum,1995,tt0113774,nm0710372,Mort Ransen,0.0,4.7,25,62
Fletch,1985,tt0089155,nm0006916,Michael Ritchie,-17606656.33715525,4.3,54,47
Even Dwarfs Started Small,1970,tt0065436,nm0001348,Werner Herzog,-1219503.7561708523,4.6,86,28
Harsh Times,2005,tt0433387,nm0043742,David Ayer,-2424436.9532750165,4.6,20,37
Mad About Men,1954,tt0047199,nm0859387,Ralph Thomas,0.0,4.5,40,39
Overheard,2009,tt1349853,nm0159039,Felix Chong,0.0,4.7,10,41
Stars and Stripes Forever,1952,tt0045187,nm0467396,Henry Koster,11609286.614221303,4.9,49,47
Ace Ventura: Pet Detective,1994,tt0109040,nm0001723,Tom Shadyac,11609286.614221303,4.8,16,36
Crossfire,1947,tt0039286,nm0229424,Edward Dmytryk,-2651020.903322135,4.7,55,39
Age of Consent,1969,tt0063991,nm0003836,Michael Powell,0.0,4.5,58,64
Smart Money,1986,tt0096123,nm0741262,Bernard Rose,0.0,4.5,30,26
Up the Down Staircase,1967,tt0062425,nm0612322,Robert Mulligan,0.0,4.7,90,42
Dodsworth,1936,tt0027532,nm0943758,William Wyler,11609286.614221303,6.2,72,34
Case 39,2009,tt0795351,nm0023355,Christian Alvart,-15448646.775769832,4.2,60,35
A House Is Not a Home,1964,tt0058209,nm0745866,Russell Rouse,0.0,4.4,12,51
Transporter 3,2008,tt1129442,nm0576298,Olivier Megaton,11609286.614221303,4.7,30,43
Lulu and Jimi,2009,tt0763844,nm0753912,Oskar Roehler,0.0,4.2,17,50
A Lizard in a Woman's Skin,1971,tt0067361,nm0002086,Lucio Fulci,0.0,4.6,65,44
Call Girl,1974,tt0370383,nm1030405,Vijay Kapoor,0.0,4.6,5,35
Dad,1989,tt0097142,nm0325204,Gary David Goldberg,11609286.614221303,4.7,3,45
The Broadway Melody,1929,tt0019729,nm0064600,Harry Beaumont,11609286.614221303,4.6,99,41
Fatal Beauty,1987,tt0093011,nm0276169,Tom Holland,11609286.614221303,4.5,35,44
The Man with My Face,1951,tt0121515,nm0598723,Edward Montagne,0.0,4.5,57,39
Maybe Baby,2000,tt0206926,nm0255780,Ben Elton,0.0,4.4,12,41
Dr. Kildare Goes Home,1940,tt0032414,nm0118807,Harold S. Bucquet,0.0,4.6,28,49
Nightwalking,2008,tt1164621,nm2098640,Daniel Cormack,0.0,4.7,4,29
A Good Year,2006,tt0401445,nm0000631,Ridley Scott,8295626.3335827375,4.8,62,69
Moscow on the Hudson,1984,tt0087747,nm0005196,Paul Mazursky,11609286.614221303,4.8,19,54
Clue,1985,tt0088930,nm0528718,Jonathan Lynn,-783502.8094995351,4.7,16,42
Triage,2009,tt1217070,nm0849786,Danis Tanovic,0.0,4.6,30,40
Look,2007,tt0810951,nm0726472,Adam Rifkin,0.0,4.6,45,41
The Flying Fleet,1929,tt0019886,nm0384276,George W. Hill,0.0,4.6,18,34
Dobermann,1997,tt0118996,nm0468007,Jan Kounen,0.0,4.6,29,33
Killing Them Softly,2012,tt1764234,nm0231596,Andrew Dominik,-4667786.539594726,4.4,11,45
The Princess Diaries 2: Royal Engagement,2004,tt0368933,nm0005190,Garry Marshall,-50133839.2305656,3.5,37,70
Family Ties,2006,tt0823462,nm0453707,Kim Tae-yong,1221660.7871522468,4.7,6,37
The Big Bounce,2004,tt0315824,nm0000786,George Armitage,-54142395.62730786,3.3,7,62
The Caine Mutiny,1954,tt0046816,nm0229424,Edward Dmytryk,11609286.614221303,5.0,55,46
Lady In Cement,1968,tt0063210,nm0235066,Gordon Douglas,0.0,4.4,95,61
The Earrings of Madame de...,1953,tt0046022,nm0649097,Max Ophüls,0.0,4.9,26,51
The Desert of the Tartars,1976,tt0074400,nm0958801,Valerio Zurlini,0.0,4.8,20,50
Evano Oruvan,2007,tt1166809,nm1723225,Nishikant Kamat,0.0,4.7,10,37
Hanbando,2006,tt0473490,nm0437652,Kang Woo-suk,0.0,4.2,20,46
Derailed,2002,tt0298296,nm0592824,Bob Misiorowski,0.0,4.0,8,58
Bigger Than Life,1956,tt0049010,nm0712947,Nicholas Ray,0.0,4.7,26,45
The Grass Is Greener,1960,tt0053877,nm0002045,Stanley Donen,11609286.614221303,4.8,26,36
The Champ,1931,tt0021730,nm0896542,King Vidor,0.0,4.7,73,37
Cloak & Dagger,1984,tt0087065,nm0002207,Richard Franklin,11609286.614221303,4.8,31,36
The Japanese Wife,2010,tt1620620,nm0031967,Aparna Sen,0.0,4.8,16,65
Davy,1958,tt0050293,nm0718838,Michael Relph,0.0,4.4,3,43
The Flying Missile,1950,tt0042468,nm0505610,Henry Levin,0.0,4.4,55,41
Bound,1996,tt0115736,nm0905154,Lana Wachowski,-1053109.9326107746,4.7,21,31
Three Brothers,1981,tt0083226,nm0742940,Francesco Rosi,0.0,4.7,17,59
The Christmas Kid,1967,tt0061844,nm0684335,Sidney W. Pink,0.0,4.3,5,51
Casino Royale,2006,tt0381061,nm0132709,Martin Campbell,11609286.614221303,5.1,63,63
Heat,1972,tt0068688,nm0607407,Paul Morrissey,0.0,4.5,22,34
Damsels in Distress,2011,tt1667307,nm0001775,Whit Stillman,1058878.8888262382,4.4,9,59
Monsieur Hire,1989,tt0097904,nm0496312,Patrice Leconte,0.0,4.8,39,42
Love and Honor,2006,tt0483578,nm0945282,Yôji Yamada,-574.2498557314703,4.8,91,75
Dogtown,1997,tt0119001,nm0382584,George Hickenlooper,0.0,4.4,19,34
Dead Ringers,1988,tt0094964,nm0000343,David Cronenberg,-9932193.054984149,4.5,48,45
Tattoo,1981,tt0083178,nm0111882,Bob Brooks,0.0,4.3,5,54
Recaptured Love,1930,tt0021289,nm0012317,John G. Adolfi,0.0,4.4,85,49
The Great Moment,1921,tt0012238,nm0939992,Sam Wood,0.0,4.6,74,38
Crash,1996,tt0115964,nm0000343,David Cronenberg,-12016492.366751673,4.3,48,53
The Adopted Son,1998,tt0166503,nm0008332,Aktan Arym Kubat,0.0,4.6,10,41
Abby Singer,2003,tt0384792,nm1482650,Ryan R. Williams,0.0,4.2,10,21
Rachel Getting Married,2008,tt1084950,nm0001129,Jonathan Demme,11609286.614221303,4.8,55,64
The Apostle,1997,tt0118632,nm0000380,Robert Duvall,11609286.614221303,4.9,5,66
Spring in a Small Town,1948,tt0189219,nm0270502,Mu Fei,0.0,4.7,9,42
Ashes and Embers,1982,tt0083584,nm0314340,Haile Gerima,0.0,4.5,11,36
Veronika Decides to Die,2009,tt1068678,nm1369721,Emily Young,-8419902.019388262,4.4,5,39
Behind Green Lights,1946,tt0038346,nm0112897,Otto Brower,0.0,4.5,40,51
A Sound of Thunder,2005,tt0318081,nm0001382,Peter Hyams,-82836385.91943248,2.6,24,62
Hex,1973,tt0070174,nm0136818,Leo Garen,-5225.257732732733,4.1,3,37
Rashomon,1950,tt0042876,nm0000041,Akira Kurosawa,-2459170.706371191,4.9,32,40
Weighed But Found Wanting,1974,tt0072295,nm0110653,Lino Brocka,0.0,4.7,69,35
Just Like the Son,2006,tt0471009,nm0293533,Morgan J. Freeman,0.0,4.6,14,37
Conrack,1974,tt0071358,nm0728688,Martin Ritt,0.0,4.7,33,60
Blast-Off Girls,1967,tt0061408,nm0504496,Herschell Gordon Lewis,0.0,4.1,38,41
Short Sharp Shock,1998,tt0162426,nm0015359,Fatih Akin,-726147.4362251419,4.7,23,25
Cinderella Liberty,1973,tt0069883,nm0041932,Mark Rydell,0.0,4.6,47,44
O,2001,tt0184791,nm0625789,Tim Blake Nelson,11609286.614221303,4.7,12,37
On the Waterfront,1954,tt0047296,nm0001415,Elia Kazan,11609286.614221303,8.9,20,45
Ichijo's Wet Lust,1972,tt0220570,nm0436770,Tatsumi Kumashiro,0.0,4.3,39,45
Ransom,1996,tt0117438,nm0000165,Ron Howard,11609286.614221303,4.8,52,42
The Asphalt Jungle,1950,tt0042208,nm0001379,John Huston,-12118793.24099723,4.6,41,44
Deadly Blessing,1981,tt0082245,nm0000127,Wes Craven,11609286.614221303,4.5,33,42
Blood and Bones,2004,tt0419515,nm0756406,Yôichi Sai,0.0,4.7,19,55
Tristana,1970,tt0066491,nm0000320,Luis Buñuel,0.0,4.7,35,70
Separate Lies,2005,tt0369053,nm0271501,Julian Fellowes,0.0,4.5,2,56
The Siege,1998,tt0133952,nm0001880,Edward Zwick,11609286.614221303,4.7,32,46
The Scorpion King,2002,tt0277296,nm0751080,Chuck Russell,-78966893.676164,2.9,19,44
Racing with the Moon,1984,tt0087968,nm0000907,Richard Benjamin,-6732550.97229424,4.5,22,46
Since Otar Left,2003,tt0336264,nm0078465,Julie Bertuccelli,0.0,4.8,15,35
Maniac,1963,tt0056219,nm0140257,Michael Carreras,0.0,4.4,17,36
Not Without My Daughter,1991,tt0102555,nm0317981,Brian Gilbert,11609286.614221303,4.7,10,31
Sleepwalk with Me,2012,tt2077851,nm1898126,Mike Birbiglia,0.0,4.6,4,34
Dreamchild,1985,tt0089052,nm0587669,Gavin Millar,0.0,4.6,83,47
Hit Man,1972,tt0068704,nm0000786,George Armitage,0.0,4.4,7,30
The Importance of Being Earnest,2002,tt0278500,nm0662529,Oliver Parker,11609286.614221303,4.8,20,42
The Boss,1973,tt0069818,nm0223964,Fernando Di Leo,0.0,4.6,26,41
The Island,2006,tt0851577,nm0526732,Pavel Lungin,0.0,4.8,19,57
The Core,2003,tt0298814,nm0000750,Jon Amiel,11609286.614221303,4.5,83,55
The Pacifier,2005,tt0395699,nm0788202,Adam Shankman,11609286.614221303,4.6,37,41
Replicant,2001,tt0238552,nm0482681,Ringo Lam,-22728811.18222891,3.9,24,46
My Second Brother,1959,tt0053111,nm0408076,Shôhei Imamura,0.0,4.6,24,33
Wannabes,2000,tt0309059,nm0218318,William DeMeo,0.0,4.4,14,29
Aitbaar,1985,tt0088687,nm0002172,Mukul Anand,0.0,4.6,15,34
Revenge of the Pink Panther,1978,tt0078163,nm0001175,Blake Edwards,11609286.614221303,4.8,75,56
La Chienne,1931,tt0021739,nm0719756,Jean Renoir,0.0,4.8,35,37
The Kid,1921,tt0012349,nm0000122,Charles Chaplin,11609286.614221303,5.1,72,32
'Til We Meet Again,1940,tt0032176,nm0332539,Edmund Goulding,0.0,4.6,33,49
Kisan Kanya,1937,tt0214858,nm0317308,Moti B. Gidwani,0.0,4.7,22,32
Australia,2008,tt0455824,nm0525303,Baz Luhrmann,11609286.614221303,4.8,21,46
The Bourne Ultimatum,2007,tt0440963,nm0339030,Paul Greengrass,11609286.614221303,6.3,49,52
Susana,1951,tt0043018,nm0000320,Luis Buñuel,0.0,4.7,35,51
